Date,Open,High,Low,Close
6/6/24,18.89,18.89,16.56,16.6
6/7/24,16.8,17.15,16.37,16.85
6/10/24,16.88,17.25,16.17,16.43
6/11/24,16.4,16.4,14.68,14.79
6/12/24,14.77,14.77,13.17,14.46
6/13/24,14.39,14.39,13.31,13.35
6/14/24,13.49,13.49,12.66,12.91
6/18/24,12.82,13.42,12.63,13.04
6/19/24,12.97,13.82,11.63,13.74
6/20/24,13.71,14.06,13.1,13.31
6/21/24,13.35,13.59,12.48,13.21
6/24/24,13.18,14.27,13.15,13.97
6/25/24,14.06,14.46,13.84,14.27
6/26/24,14.31,14.55,13.99,13.99
6/27/24,14.05,14.61,13.92,14.34
6/28/24,14.1525,14.29,13.6875,13.8025
7/1/24,13.8025,14.2275,13.7925,13.83
7/2/24,13.83,14.0125,13.3225,13.64
7/3/24,13.64,13.715,12.87,13.205
7/4/24,13.205,13.205,12.2575,12.855
7/5/24,12.855,12.99,12.08,12.695
7/8/24,12.695,13.7575,12.695,13.6
7/9/24,13.6,14.4025,12.79,14.28
7/10/24,14.28,14.915,13.4075,14.4325
7/11/24,14.4325,14.4325,12.68,13.995
7/12/24,13.995,14.0525,13.2225,13.725
7/15/24,13.725,14.34,13.5675,14.1875
7/16/24,14.1875,14.5875,13.8025,14.2225
7/18/24,14.2225,14.71,13.75,14.51
7/19/24,14.51,14.965,12.7375,14.825
7/22/24,14.825,15.625,13.115,15.4375
7/23/24,15.4375,16.065,12.5925,12.7475
7/24/24,12.7475,14.0375,11.6175,11.7625
7/25/24,11.7625,13.2175,11.275,12.6175
7/26/24,12.6175,13.135,11.9775,12.2475
7/29/24,12.2475,13.255,12.0275,12.945
7/30/24,12.945,13.26,11.715,12.88
7/31/24,12.88,13.3875,11.6225,13.25
8/1/24,13.25,13.305,11.9825,12.93
8/2/24,12.93,14.51,11.6925,14.32
8/5/24,14.32,23.1525,13.9075,20.3675
8/6/24,20.3675,20.3675,14.8675,18.7425
8/7/24,18.7425,18.7425,13.7225,16.17
8/8/24,16.17,17.23,14.38,16.6025
8/9/24,16.6025,16.6025,13.4325,15.335
8/12/24,15.335,16.5575,13.395,15.8675
8/13/24,15.8675,16.375,14.2225,16.1675
8/14/24,16.1675,16.22,13.8225,15.435
8/16/24,15.435,15.435,12.95,14.4025
8/19/24,14.4025,14.83,13.1975,14.315
8/20/24,14.315,14.315,11.425,13.82
8/21/24,13.82,14.045,11.8225,13.3325
8/22/24,13.3325,13.7825,10.9575,13
8/23/24,13,13.62,10.84,13.5525
8/26/24,13.5525,13.9925,12.01,13.795
8/27/24,13.795,14.01,12.71,13.6325
8/28/24,13.6325,14.085,12.035,13.95
8/29/24,13.95,14.135,12.4825,13.7875
8/30/24,13.7875,13.905,12.54,13.3925
9/2/24,13.3925,14.25,12.6275,14.06
9/3/24,14.06,14.15,12.69,13.8425
9/4/24,13.8425,14.555,12.805,14.3775
9/5/24,14.3775,14.3775,13.335,14.2075
9/6/24,14.2075,15.6725,12.3525,15.2175
9/9/24,15.2175,15.5625,14.11,14.2375
